country,year_survey,quantile,nb_quantiles,income,gdpppp
ALB,2008,1,100,728.89795,7297.0
ALB,2008,2,100,916.66235,7297.0
ALB,2008,3,100,1010.916,7297.0
ALB,2008,4,100,1086.9078,7297.0
ALB,2008,5,100,1132.6997,7297.0
ALB,2008,6,100,1171.1412,7297.0
ALB,2008,7,100,1201.1324,7297.0
ALB,2008,8,100,1240.8976,7297.0
ALB,2008,9,100,1285.6914,7297.0
ALB,2008,10,100,1325.2533,7297.0
ALB,2008,11,100,1351.3123,7297.0
ALB,2008,12,100,1379.9443,7297.0
ALB,2008,13,100,1416.7827,7297.0
ALB,2008,14,100,1467.0759,7297.0
ALB,2008,15,100,1503.6356,7297.0
ALB,2008,16,100,1535.6703,7297.0
ALB,2008,17,100,1571.8933,7297.0
ALB,2008,18,100,1604.8568,7297.0
ALB,2008,19,100,1636.6593,7297.0
ALB,2008,20,100,1669.9136,7297.0
ALB,2008,21,100,1709.7347,7297.0
ALB,2008,22,100,1746.391,7297.0
ALB,2008,23,100,1765.3282,7297.0
ALB,2008,24,100,1789.8435,7297.0
ALB,2008,25,100,1821.8538,7297.0
ALB,2008,26,100,1844.6742,7297.0
ALB,2008,27,100,1863.2518,7297.0
ALB,2008,28,100,1880.7145,7297.0
ALB,2008,29,100,1903.7499,7297.0
ALB,2008,30,100,1929.054,7297.0
ALB,2008,31,100,1950.4482,7297.0
ALB,2008,32,100,1967.546,7297.0
ALB,2008,33,100,1993.7744,7297.0
ALB,2008,34,100,2026.2073,7297.0
ALB,2008,35,100,2057.9592,7297.0
ALB,2008,36,100,2085.9587,7297.0
ALB,2008,37,100,2115.2470000000008,7297.0
ALB,2008,38,100,2141.773,7297.0
ALB,2008,39,100,2170.2737,7297.0
ALB,2008,40,100,2195.6135,7297.0
ALB,2008,41,100,2216.396,7297.0
ALB,2008,42,100,2258.5613,7297.0
ALB,2008,43,100,2291.3662,7297.0
ALB,2008,44,100,2318.385,7297.0
ALB,2008,45,100,2343.677,7297.0
ALB,2008,46,100,2367.7053,7297.0
ALB,2008,47,100,2394.3325,7297.0
ALB,2008,48,100,2414.1929,7297.0
ALB,2008,49,100,2450.6875,7297.0
ALB,2008,50,100,2493.837,7297.0
ALB,2008,51,100,2515.8542,7297.0
ALB,2008,52,100,2545.9229,7297.0
ALB,2008,53,100,2585.2053,7297.0
ALB,2008,54,100,2624.496,7297.0
ALB,2008,55,100,2653.148,7297.0
ALB,2008,56,100,2689.833,7297.0
ALB,2008,57,100,2727.5537,7297.0
ALB,2008,58,100,2760.3188,7297.0
ALB,2008,59,100,2789.3022,7297.0
ALB,2008,60,100,2820.4968,7297.0
ALB,2008,61,100,2853.7224,7297.0
ALB,2008,62,100,2892.0959999999995,7297.0
ALB,2008,63,100,2937.91,7297.0
ALB,2008,64,100,2981.6497,7297.0
ALB,2008,65,100,3007.7898,7297.0
ALB,2008,66,100,3061.0693,7297.0
ALB,2008,67,100,3103.5266,7297.0
ALB,2008,68,100,3146.2292,7297.0
ALB,2008,69,100,3181.6255,7297.0
ALB,2008,70,100,3230.5708,7297.0
ALB,2008,71,100,3280.7761,7297.0
ALB,2008,72,100,3341.487,7297.0
ALB,2008,73,100,3390.7966,7297.0
ALB,2008,74,100,3439.6257,7297.0
ALB,2008,75,100,3491.062,7297.0
ALB,2008,76,100,3559.863,7297.0
ALB,2008,77,100,3616.3733,7297.0
ALB,2008,78,100,3671.2327,7297.0
ALB,2008,79,100,3747.2676,7297.0
ALB,2008,80,100,3820.1353,7297.0
ALB,2008,81,100,3894.5598,7297.0
ALB,2008,82,100,3998.902,7297.0
ALB,2008,83,100,4088.487,7297.0
ALB,2008,84,100,4188.287,7297.0
ALB,2008,85,100,4297.0615,7297.0
ALB,2008,86,100,4417.9106,7297.0
ALB,2008,87,100,4477.9634,7297.0
ALB,2008,88,100,4587.197,7297.0
ALB,2008,89,100,4670.309,7297.0
ALB,2008,90,100,4773.785,7297.0
ALB,2008,91,100,4965.685,7297.0
ALB,2008,92,100,5144.8833,7297.0
ALB,2008,93,100,5348.7930000000015,7297.0
ALB,2008,94,100,5619.445,7297.0
ALB,2008,95,100,5860.917,7297.0
ALB,2008,96,100,6231.0996,7297.0
ALB,2008,97,100,6822.3184,7297.0
ALB,2008,98,100,7775.891,7297.0
ALB,2008,99,100,9351.751,7297.0
ALB,2008,100,100,17754.324,7297.0
ARG,2008,1,100,254.08942,13220.0
ARG,2008,2,100,470.5015,13220.0
ARG,2008,3,100,623.4542,13220.0
ARG,2008,4,100,734.97455,13220.0
ARG,2008,5,100,832.3185,13220.0
ARG,2008,6,100,918.408,13220.0
ARG,2008,7,100,1012.4612,13220.0
ARG,2008,8,100,1106.381,13220.0
ARG,2008,9,100,1185.0071,13220.0
ARG,2008,10,100,1269.6984,13220.0
ARG,2008,11,100,1338.0342,13220.0
ARG,2008,12,100,1380.8749,13220.0
ARG,2008,13,100,1470.019,13220.0
ARG,2008,14,100,1549.8207,13220.0
ARG,2008,15,100,1624.023,13220.0
ARG,2008,16,100,1687.6732,13220.0
ARG,2008,17,100,1752.8687,13220.0
ARG,2008,18,100,1823.772,13220.0
ARG,2008,19,100,1898.275,13220.0
ARG,2008,20,100,1974.4622,13220.0
ARG,2008,21,100,2032.3722,13220.0
ARG,2008,22,100,2094.0496,13220.0
ARG,2008,23,100,2170.0852,13220.0
ARG,2008,24,100,2228.7747,13220.0
ARG,2008,25,100,2292.8467,13220.0
ARG,2008,26,100,2363.1096,13220.0
ARG,2008,27,100,2429.5596,13220.0
ARG,2008,28,100,2497.3577,13220.0
ARG,2008,29,100,2566.5305,13220.0
ARG,2008,30,100,2637.7153,13220.0
ARG,2008,31,100,2692.171,13220.0
ARG,2008,32,100,2746.051,13220.0
ARG,2008,33,100,2820.2788,13220.0
ARG,2008,34,100,2897.1238,13220.0
ARG,2008,35,100,2967.7244,13220.0
ARG,2008,36,100,3035.254000000001,13220.0
ARG,2008,37,100,3097.5535,13220.0
ARG,2008,38,100,3184.9153,13220.0
ARG,2008,39,100,3282.9697,13220.0
ARG,2008,40,100,3321.3784,13220.0
ARG,2008,41,100,3405.5334,13220.0
ARG,2008,42,100,3458.2698,13220.0
ARG,2008,43,100,3576.3364,13220.0
ARG,2008,44,100,3653.484,13220.0
ARG,2008,45,100,3742.366,13220.0
ARG,2008,46,100,3834.9336,13220.0
ARG,2008,47,100,3937.5852,13220.0
ARG,2008,48,100,3983.421,13220.0
ARG,2008,49,100,4081.0247,13220.0
ARG,2008,50,100,4132.6655,13220.0
ARG,2008,51,100,4236.1157,13220.0
ARG,2008,52,100,4321.946,13220.0
ARG,2008,53,100,4410.517,13220.0
ARG,2008,54,100,4509.2407,13220.0
ARG,2008,55,100,4603.4473,13220.0
ARG,2008,56,100,4687.6504,13220.0
ARG,2008,57,100,4787.1006,13220.0
ARG,2008,58,100,4900.4614,13220.0
ARG,2008,59,100,4983.294,13220.0
ARG,2008,60,100,5099.2793,13220.0
ARG,2008,61,100,5205.6445,13220.0
ARG,2008,62,100,5313.511,13220.0
ARG,2008,63,100,5458.491,13220.0
ARG,2008,64,100,5567.0547,13220.0
ARG,2008,65,100,5703.41,13220.0
ARG,2008,66,100,5849.013000000001,13220.0
ARG,2008,67,100,5982.9033,13220.0
ARG,2008,68,100,6137.5234,13220.0
ARG,2008,69,100,6282.3105,13220.0
ARG,2008,70,100,6448.2114,13220.0
ARG,2008,71,100,6600.3413,13220.0
ARG,2008,72,100,6696.6587,13220.0
ARG,2008,73,100,6826.522,13220.0
ARG,2008,74,100,6995.557,13220.0
ARG,2008,75,100,7202.156,13220.0
ARG,2008,76,100,7416.6777,13220.0
ARG,2008,77,100,7625.8706,13220.0
ARG,2008,78,100,7869.0835,13220.0
ARG,2008,79,100,8084.654,13220.0
ARG,2008,80,100,8273.657,13220.0
ARG,2008,81,100,8522.606,13220.0
ARG,2008,82,100,8771.192,13220.0
ARG,2008,83,100,9024.021,13220.0
ARG,2008,84,100,9286.609,13220.0
ARG,2008,85,100,9666.155,13220.0
ARG,2008,86,100,10008.863,13220.0
ARG,2008,87,100,10313.333,13220.0
ARG,2008,88,100,10734.454,13220.0
ARG,2008,89,100,11133.899,13220.0
ARG,2008,90,100,11605.032,13220.0
ARG,2008,91,100,12110.668,13220.0
ARG,2008,92,100,12821.353,13220.0
ARG,2008,93,100,13450.862,13220.0
ARG,2008,94,100,14296.399,13220.0
ARG,2008,95,100,15406.059,13220.0
ARG,2008,96,100,16618.873,13220.0
ARG,2008,97,100,18226.73,13220.0
ARG,2008,98,100,20528.305,13220.0
ARG,2008,99,100,24444.95,13220.0
ARG,2008,100,100,43669.242,13220.0
ARM,2008,1,100,366.6178,5611.0
ARM,2008,2,100,535.32733,5611.0
ARM,2008,3,100,611.6456,5611.0
ARM,2008,4,100,658.3394,5611.0
ARM,2008,5,100,690.8471,5611.0
ARM,2008,6,100,721.91,5611.0
ARM,2008,7,100,753.8348,5611.0
ARM,2008,8,100,784.914,5611.0
ARM,2008,9,100,809.0876,5611.0
ARM,2008,10,100,830.59094,5611.0
ARM,2008,11,100,852.4589,5611.0
ARM,2008,12,100,868.94116,5611.0
ARM,2008,13,100,885.39276,5611.0
ARM,2008,14,100,901.40045,5611.0
ARM,2008,15,100,916.8185,5611.0
ARM,2008,16,100,930.39844,5611.0
ARM,2008,17,100,944.1479,5611.0
ARM,2008,18,100,960.31946,5611.0
ARM,2008,19,100,973.6211,5611.0
ARM,2008,20,100,985.9384,5611.0
ARM,2008,21,100,1001.25635,5611.0
ARM,2008,22,100,1015.4506,5611.0
ARM,2008,23,100,1032.477,5611.0
ARM,2008,24,100,1045.7046,5611.0
ARM,2008,25,100,1057.7776,5611.0
ARM,2008,26,100,1069.1831,5611.0
ARM,2008,27,100,1081.0719,5611.0
ARM,2008,28,100,1092.8855,5611.0
ARM,2008,29,100,1108.2437,5611.0
ARM,2008,30,100,1120.6235,5611.0
ARM,2008,31,100,1133.1283,5611.0
ARM,2008,32,100,1146.9109,5611.0
ARM,2008,33,100,1162.6599,5611.0
ARM,2008,34,100,1178.236,5611.0
ARM,2008,35,100,1193.8954,5611.0
ARM,2008,36,100,1208.1305,5611.0
ARM,2008,37,100,1223.5303,5611.0
ARM,2008,38,100,1238.8951,5611.0
ARM,2008,39,100,1253.8859,5611.0
ARM,2008,40,100,1268.9225,5611.0
ARM,2008,41,100,1281.8394,5611.0
ARM,2008,42,100,1296.4242,5611.0
ARM,2008,43,100,1314.5457,5611.0
ARM,2008,44,100,1327.7771,5611.0
ARM,2008,45,100,1342.8373,5611.0
ARM,2008,46,100,1359.8248,5611.0
ARM,2008,47,100,1377.7891,5611.0
ARM,2008,48,100,1394.5028,5611.0
ARM,2008,49,100,1411.0984,5611.0
ARM,2008,50,100,1428.1554,5611.0
ARM,2008,51,100,1446.4796,5611.0
ARM,2008,52,100,1462.5804,5611.0
ARM,2008,53,100,1478.4479,5611.0
ARM,2008,54,100,1492.0929,5611.0
ARM,2008,55,100,1508.306,5611.0
ARM,2008,56,100,1524.2128,5611.0
ARM,2008,57,100,1544.3384,5611.0
ARM,2008,58,100,1561.2284,5611.0
ARM,2008,59,100,1579.2787,5611.0
ARM,2008,60,100,1597.0527,5611.0
ARM,2008,61,100,1615.3346,5611.0
ARM,2008,62,100,1629.283,5611.0
ARM,2008,63,100,1646.6173,5611.0
ARM,2008,64,100,1664.7320000000002,5611.0
ARM,2008,65,100,1686.3934,5611.0
ARM,2008,66,100,1709.094,5611.0
ARM,2008,67,100,1730.8502,5611.0
ARM,2008,68,100,1750.0732,5611.0
ARM,2008,69,100,1777.7485,5611.0
ARM,2008,70,100,1803.7054,5611.0
ARM,2008,71,100,1826.0278,5611.0
ARM,2008,72,100,1852.229,5611.0
ARM,2008,73,100,1879.5952,5611.0
ARM,2008,74,100,1906.9038,5611.0
ARM,2008,75,100,1932.2344,5611.0
ARM,2008,76,100,1960.7899,5611.0
ARM,2008,77,100,1994.7466,5611.0
ARM,2008,78,100,2029.332,5611.0
ARM,2008,79,100,2065.607,5611.0
ARM,2008,80,100,2098.375,5611.0
ARM,2008,81,100,2132.9453,5611.0
ARM,2008,82,100,2169.0327,5611.0
ARM,2008,83,100,2215.1067,5611.0
ARM,2008,84,100,2258.8452,5611.0
ARM,2008,85,100,2302.0046,5611.0
ARM,2008,86,100,2354.0588,5611.0
ARM,2008,87,100,2404.2112,5611.0
ARM,2008,88,100,2453.5447,5611.0
ARM,2008,89,100,2512.8293,5611.0
ARM,2008,90,100,2570.032,5611.0
ARM,2008,91,100,2653.5796,5611.0
ARM,2008,92,100,2738.5073,5611.0
ARM,2008,93,100,2832.9912,5611.0
ARM,2008,94,100,2932.5605,5611.0
ARM,2008,95,100,3062.8557,5611.0
ARM,2008,96,100,3229.5537,5611.0
ARM,2008,97,100,3466.665,5611.0
ARM,2008,98,100,3758.6018,5611.0
ARM,2008,99,100,4320.2896,5611.0
ARM,2008,100,100,6566.1590000000015,5611.0
AUT,2008,1,100,2958.0764,36193.0
AUT,2008,2,100,4893.4673,36193.0
AUT,2008,3,100,5459.649,36193.0
AUT,2008,4,100,5923.5854,36193.0
AUT,2008,5,100,6380.278,36193.0
AUT,2008,6,100,6779.2646,36193.0
AUT,2008,7,100,7056.4434,36193.0
AUT,2008,8,100,7316.1816,36193.0
AUT,2008,9,100,7581.0547,36193.0
AUT,2008,10,100,7759.3896,36193.0
AUT,2008,11,100,7956.4214,36193.0
AUT,2008,12,100,8176.272,36193.0
AUT,2008,13,100,8415.03,36193.0
AUT,2008,14,100,8623.799,36193.0
AUT,2008,15,100,8814.575,36193.0
AUT,2008,16,100,8990.363000000001,36193.0
AUT,2008,17,100,9178.429,36193.0
AUT,2008,18,100,9376.023,36193.0
AUT,2008,19,100,9515.739,36193.0
AUT,2008,20,100,9695.099,36193.0
AUT,2008,21,100,9863.0205,36193.0
AUT,2008,22,100,10055.017,36193.0
AUT,2008,23,100,10259.746,36193.0
AUT,2008,24,100,10496.359,36193.0
AUT,2008,25,100,10554.084,36193.0
AUT,2008,26,100,10697.8,36193.0
AUT,2008,27,100,10856.462,36193.0
AUT,2008,28,100,10975.0625,36193.0
AUT,2008,29,100,11093.223999999998,36193.0
AUT,2008,30,100,11224.961,36193.0
AUT,2008,31,100,11336.454,36193.0
AUT,2008,32,100,11480.446000000002,36193.0
AUT,2008,33,100,11661.576,36193.0
AUT,2008,34,100,11890.7,36193.0
AUT,2008,35,100,12048.354,36193.0
AUT,2008,36,100,12211.809,36193.0
AUT,2008,37,100,12393.749,36193.0
AUT,2008,38,100,12563.549,36193.0
AUT,2008,39,100,12775.847,36193.0
AUT,2008,40,100,12936.386,36193.0
AUT,2008,41,100,13065.986,36193.0
AUT,2008,42,100,13249.753,36193.0
AUT,2008,43,100,13408.748,36193.0
AUT,2008,44,100,13595.513,36193.0
AUT,2008,45,100,13777.695,36193.0
AUT,2008,46,100,13926.499,36193.0
AUT,2008,47,100,14080.673,36193.0
AUT,2008,48,100,14270.824,36193.0
AUT,2008,49,100,14446.655,36193.0
AUT,2008,50,100,14569.917,36193.0
AUT,2008,51,100,14742.935,36193.0
AUT,2008,52,100,14875.329,36193.0
AUT,2008,53,100,15048.216,36193.0
AUT,2008,54,100,15231.71,36193.0
AUT,2008,55,100,15454.663,36193.0
AUT,2008,56,100,15650.356000000002,36193.0
AUT,2008,57,100,15792.675,36193.0
AUT,2008,58,100,15951.31,36193.0
AUT,2008,59,100,16162.755,36193.0
AUT,2008,60,100,16372.482,36193.0
AUT,2008,61,100,16581.996,36193.0
AUT,2008,62,100,16798.281000000006,36193.0
AUT,2008,63,100,17026.717,36193.0
AUT,2008,64,100,17220.933999999994,36193.0
AUT,2008,65,100,17363.371,36193.0
AUT,2008,66,100,17499.843999999994,36193.0
AUT,2008,67,100,17680.13,36193.0
AUT,2008,68,100,17933.955,36193.0
AUT,2008,69,100,18200.24,36193.0
AUT,2008,70,100,18487.195,36193.0
AUT,2008,71,100,18745.055,36193.0
AUT,2008,72,100,19070.545,36193.0
